Distance_to_soma,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595
00198_P003_T01-S003_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_12_17_19,9,9,9,9,10,11,13,16,19,20,22,24,26,31,30,34,36,34,33,30,28,27,27,26,23,19,20,16,16,14,13,12,11,6,5,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00202_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_08_30_10_29,6,6,7,7,8,9,12,13,17,20,18,17,19,18,18,16,16,13,12,10,10,8,7,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00204_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_08_23_15_58,7,7,7,7,8,10,14,15,17,21,24,28,30,31,36,35,35,31,32,30,29,25,20,17,13,11,7,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00205_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_08_23_15_59,8,8,8,8,9,10,9,12,18,21,24,27,28,28,28,31,29,27,26,26,24,19,17,11,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00207_P003_T01-S004_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_31_14_24,8,8,8,9,11,14,14,17,20,21,25,29,32,34,37,39,39,40,45,42,42,40,42,39,35,32,27,24,21,18,14,12,9,6,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00231_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_08_11_15_27,9,9,9,9,10,12,16,20,28,26,28,26,27,30,31,35,35,35,34,30,29,27,26,22,18,10,8,7,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00237_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_14_17_22,7,7,7,7,7,9,10,18,20,22,24,28,31,34,38,42,45,46,47,51,51,50,49,46,43,39,36,35,31,29,28,23,17,11,10,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00238_P003_T01-S004_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_14_17_23,10,10,10,11,12,17,20,21,24,26,28,32,30,32,31,33,34,35,35,35,35,35,35,34,34,33,32,29,27,26,21,21,18,15,13,11,10,7,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00242_P003_T01-S004_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_14_17_28,7,7,7,8,8,10,12,13,16,18,25,30,34,36,40,41,47,47,48,46,45,42,42,34,33,31,31,31,25,22,13,11,11,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00246_P003_T01-S004_S(M)TG_R0460_WY-20220513_LJ_stamp_2022_07_15_17_14,10,10,10,10,10,12,15,19,25,29,33,39,37,38,37,34,32,29,25,25,25,23,20,17,13,12,11,9,6,4,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
