Name,Stems,Branches,Length,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00118_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_17.ano.eswc,9,94,4058.93,68.2052,60.568,1.0965
00119_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_18.ano.eswc,6,125,3138.44,72.9707,57.1607,1.08474
00120_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_18.ano.eswc,8,125,4310.78,81.4195,56.7122,1.07706
00121_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_19.ano.eswc,6,121,3831.81,79.7242,61.1534,1.09893
00122_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_08_17_09.ano.eswc,7,195,7038.6,74.6056,59.471,1.09972
00123_P003_T01-S001_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_07_08_17_10.ano.eswc,7,83,2462.21,65.8607,64.8153,1.09257
00124_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_11.ano.eswc,7,115,4490.27,69.0125,56.4038,1.07259
00125_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_11.ano.eswc,6,64,2689.24,65.6129,60.6759,1.05958
00126_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_13.ano.eswc,3,76,2950.44,74.9606,70.9254,1.06427
00129_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_06_30_14_36.ano.eswc,7,142,5000.34,61.6016,52.1444,1.08185
00130_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_06_30_17_16.ano.eswc,7,113,5088.29,79.957,59.376,1.07784
00131_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_06_30_16_08.ano.eswc,7,186,6200.15,69.0058,59.4079,1.10451
00132_P003_T01-S001_S(M)TG_R0919_WY-20220513_XJ_stamp_2022_06_30_17_17.ano.eswc,8,108,5771.52,63.6428,50.1673,1.07493
00133_P003_T01-S001_S(M)TG_R0613_WY-20220513_XJ_stamp_2022_07_08_17_13.ano.eswc,8,108,4154.38,75.2127,58.6057,1.06521
00134_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_08_17_14.ano.eswc,9,119,4588.4,75.4764,54.2111,1.09449
00135_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_05_17_17.ano.eswc,10,122,5064.32,65.0509,56.7201,1.10468
00136_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_08_17_15.ano.eswc,8,98,3578.26,62.0721,51.8087,1.0901
00137_P003_T01-S001_S(M)TG_R0460_WY-20220513_stamp_2022_08_15_09_56.ano.eswc,8,62,1893.95,71.6149,63.8013,1.0394
00138_P003_T01-S001_S(M)TG_R0460_WY-20220513_stamp_2022_08_11_10_40.ano.eswc,9,109,2895.97,82.683,68.26,1.12944
