Name,Stems,Branches,Length,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00382_P005_T01-S005_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_21_16_36.ano.eswc,9,63,1904.25,79.7976,61.3707,1.13013
00383_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_21_16_37.ano.eswc,9,129,3773.57,81.8515,59.2151,1.12481
00384_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_21_16_39.ano.eswc,9,84,2453.62,76.3596,60.6568,1.04604
00385_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_21_16_40.ano.eswc,10,104,3321.7,82.8869,67.9051,1.11909
00386_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_21_17_09.ano.eswc,8,88,1907.52,85.5748,71.919,1.06994
00387_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_22_17_00.ano.eswc,7,49,1438.44,88.1507,67.5582,1.01881
00388_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_22_17_01.ano.eswc,7,47,1137.9,94.0741,77.804,1.04695
00389_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_22_17_01.ano.eswc,9,99,2365.76,82.6112,65.6133,1.10294
00390_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_22_17_02.ano.eswc,9,76,2115.67,85.5529,70.8285,1.06885
00392_P005_T01-S005_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_22_17_02.ano.eswc,7,57,1285.83,92.2705,71.1465,1.04083
00393_P005_T01-S005_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_22_17_03.ano.eswc,7,97,2801.96,88.3641,64.4083,1.08356
00394_P005_T01-S005_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_22_17_03.ano.eswc,7,54,1382.62,86.2289,72.484,1.05014
00395_P005_T01-S005_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_22_17_04.ano.eswc,8,32,942.76,80.8143,68.5716,1.02983
00397_P005_T01-S005_MFG_R0678_LJ-20220525_LJ_stamp_2022_07_28_16_36.ano.eswc,12,91,3702.28,90.582,70.5487,1.09952
00399_P005_T01-S005_MFG_R0678_LJ-20220525_LJ_stamp_2022_07_28_16_36.ano.eswc,9,92,3501.19,91.4409,67.7123,1.08994
00402_P005_T01-S004_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_28_16_36.ano.eswc,11,66,2176.95,68.7568,58.8959,1.08804
00403_P005_T01-S004_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_26_17_05.ano.eswc,10,70,2040.63,64.8681,61.9041,1.11474
00404_P005_T01-S004_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_28_17_19.ano.eswc,9,76,2567.11,78.7992,63.5954,1.07911
00408_P005_T01-S004_MFG_R0678_LJ-20220525_LJ_stamp_2022_07_28_16_37.ano.eswc,8,108,3899.1,89.2585,59.0319,1.12778
00412_P005_T01-S004_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_49.ano.eswc,10,84,2391.3,78.0377,70.1751,1.09619
00413_P005_T01-S004_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_17_06.ano.eswc,10,74,2536.97,83.1772,75.8132,1.10014
00414_P005_T01-S004_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_29_16_23.ano.eswc,13,88,2759.16,78.4378,60.0255,1.1351
00415_P005_T01-S004_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_29_16_23.ano.eswc,9,85,2602.37,87.0988,65.7481,1.11301
00416_P005_T01-S004_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_31_14_32.ano.eswc,9,89,3348.79,84.3305,66.0245,1.13936
00417_P005_T01-S004_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_11_16.ano.eswc,9,59,2432.74,69.5981,64.1113,1.08366
00419_P005_T01-S004_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_50.ano.eswc,8,90,2456.33,75.283,67.8821,1.11616
00421_P005_T01-S004_MFG_R0678_LJ-20220525_YXQ_stamp_2022_07_29_16_25.ano.eswc,8,66,2483.91,80.6953,62.6696,1.10704
00422_P005_T01-S004_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_29_16_25.ano.eswc,9,87,3505.65,86.3334,67.3324,1.09386
00423_P005_T01-S004_MFG_R0678_LJ-20220525_YXQ_stamp_2022_07_29_16_26.ano.eswc,9,87,3455.39,72.8993,61.2395,1.08459
00425_P005_T01-S004_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_29_16_33.ano.eswc,10,62,2421.19,75.065,57.2253,1.11168
00427_P005_T01-S004_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_29_16_33.ano.eswc,16,99,3237.03,88.8696,57.4843,1.0876
00428_P005_T01-S004_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_01_16_42.ano.eswc,7,63,2068.98,83.9535,60.563,1.07916
00433_P005_T01-S004_MFG_R0678_LJ-20220525_XJ_stamp_2022_08_01_16_43.ano.eswc,10,87,3300.25,76.8588,59.8379,1.10984
00434_P005_T01-S004_MFG_R0678_LJ-20220525_XJ_stamp_2022_08_01_16_43.ano.eswc,14,85,3507.14,84.8117,67.0357,1.09792
00435_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_48.ano.eswc,9,49,1481.47,79.939,74.2916,1.14188
00436_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_49.ano.eswc,9,53,1590.84,80.8365,72.7223,1.06202
00437_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_50.ano.eswc,8,90,2675.18,90.9556,78.5475,1.09617
00438_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_51.ano.eswc,10,56,2654.16,90.4567,60.9193,1.12636
00439_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_52.ano.eswc,9,55,1898.28,83.3789,61.6902,1.15428
00440_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_42.ano.eswc,10,124,3921.47,85.9278,65.0356,1.14466
00441_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_43.ano.eswc,12,82,2876.23,84.4668,68.1039,1.13328
00442_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_43.ano.eswc,8,58,2043.11,88.9568,68.8711,1.05496
00443_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_43.ano.eswc,9,75,3059.21,81.8735,58.6705,1.10631
00444_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_44.ano.eswc,9,65,2122.5,95.2944,70.553,1.04944
00445_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_27_16_44.ano.eswc,9,51,1476.48,91.2094,66.0271,1.17758
00448_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_01_16_43.ano.eswc,9,99,2425.84,84.1142,69.2248,1.04797
00450_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_26_17_07.ano.eswc,8,38,1408.99,78.6913,69.1604,1.04722
00453_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_28_09_36.ano.eswc,10,72,1645.53,80.5124,61.5069,1.07218
00470_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_26_17_07.ano.eswc,10,104,2354.9,70.7112,62.5402,1.06589
00471_P005_T01-S005_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_09_21.ano.eswc,9,70,2446.61,82.9838,62.2651,1.12035
00479_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_09_22.ano.eswc,7,98,3147.11,79.5075,67.0742,1.11578
00480_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_16_44.ano.eswc,9,102,3121.63,90.7738,61.5887,1.12121
00481_P005_T01-S006_MFG_R0678_LJ-20220525_LJ_stamp_2022_08_01_16_44.ano.eswc,11,160,5255.2,83.0741,58.9914,1.10928
00482_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_09_24.ano.eswc,8,100,3038.46,80.8567,61.5214,1.10942
00484_P005_T01-S006_MFG_R0678_LJ-20220525_LJ_stamp_2022_08_01_16_45.ano.eswc,12,132,4845.01,84.0265,65.0387,1.12384
00485_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_09_25.ano.eswc,8,96,2717.75,79.8979,66.3529,1.03996
00487_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_10_13.ano.eswc,13,95,2626.02,75.6665,62.7332,1.05512
00488_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_09_34.ano.eswc,7,99,2806.18,79.2629,62.2614,1.09372
00489_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_16_45.ano.eswc,9,77,3370.31,88.9892,65.0193,1.11145
00490_P005_T01-S006_MFG_R0678_LJ-20220525_LJ_stamp_2022_08_02_17_05.ano.eswc,9,99,4404.11,81.6693,60.5446,1.0881
00494_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_09_33.ano.eswc,9,69,1804.12,86.3387,64.8778,1.04345
00495_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_09_29.ano.eswc,11,82,2701.29,71.0234,60.1681,1.10497
00496_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_09_39.ano.eswc,11,85,2513.61,74.5361,69.6295,1.10975
00497_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_01_11_08.ano.eswc,13,103,3960.4,73.5931,64.4262,1.09297
00498_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_01_11_09.ano.eswc,8,104,3166.39,84.6094,71.7525,1.0416
00499_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_01_14_05.ano.eswc,10,101,3250.51,83.5874,62.2301,1.10504
00501_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_02_17_05.ano.eswc,9,123,4834.79,83.4968,70.2824,1.11099
00502_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_01_14_06.ano.eswc,11,121,4530.67,72.7491,54.1397,1.11324
00503_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_01_15_24.ano.eswc,9,89,2686.25,88.2717,69.1032,1.09528
00504_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_01_16_03.ano.eswc,8,90,2624.34,85.3428,61.6096,1.09982
00509_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_01_17_07.ano.eswc,8,112,4477.16,72.1017,57.2526,1.07802
00511_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_02_17_05.ano.eswc,9,119,4329.2,76.0583,65.1378,1.08954
00514_P005_T01-S007_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_02_09_43.ano.eswc,10,88,2761.58,76.3228,52.9538,1.1369
00519_P005_T01-S007_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_02_17_06.ano.eswc,9,76,2870.38,80.446,57.265,1.15043
00524_P005_T01-S007_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_02_10_38.ano.eswc,12,94,2753.91,75.3047,56.5073,1.07477
00525_P005_T01-S007_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_02_14_13.ano.eswc,10,95,2518.88,71.7973,58.9579,1.0912
00527_P005_T01-S007_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_02_14_14.ano.eswc,10,68,1971.91,79.2258,55.1866,1.08179
00534_P006_T01-S002_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_02_16_02.ano.eswc,10,54,1905.25,86.498,63.6114,1.12204
00535_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_02_16_03.ano.eswc,10,78,3412.99,80.5095,54.4623,1.1145
00537_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_02_17_06.ano.eswc,7,71,2579.03,73.039,60.7377,1.10127
00538_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_04_10_10.ano.eswc,9,76,2831.08,87.0793,71.3508,1.09507
00539_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_02_17_10.ano.eswc,8,78,3018.95,72.4966,67.5248,1.1089
00540_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_07_04_17_11.ano.eswc,7,91,3897.72,66.4698,56.7,1.09189
00541_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_03_09_29.ano.eswc,7,57,2412.44,73.1539,61.7499,1.09608
00542_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_04_11_04.ano.eswc,6,46,1931.22,69.2057,55.2576,1.0958
00543_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_05_10_03.ano.eswc,8,62,2551.52,75.3694,57.7287,1.10141
00544_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_03_14_37.ano.eswc,5,81,3086.97,78.8989,55.7892,1.09711
00545_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_03_14_39.ano.eswc,8,77,3134.67,72.7024,66.0598,1.10475
00547_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_03_15_41.ano.eswc,9,91,3291.05,76.2038,60.8597,1.11597
00548_P006_T01-S002_STG_R0678_LJ-20220530_LJ_stamp_2022_08_05_10_34.ano.eswc,14,78,3440.11,82.2577,56.3426,1.11669
00554_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_02_17_07.ano.eswc,14,96,3132.57,76.9866,59.251,1.1306
00555_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_02_17_07.ano.eswc,7,94,2968.61,82.4839,60.6928,1.07762
00556_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_02_17_07.ano.eswc,8,127,3890.76,88.6791,64.4734,1.08745
00557_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_03_17_21.ano.eswc,10,114,4267.45,81.8799,58.7,1.09538
00560_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_03_17_16.ano.eswc,9,101,3433.74,84.8024,67.4988,1.09033
00562_P006_T01-S003_STG_R0678_LJ-20220530_YXQ_stamp_2022_07_04_17_12.ano.eswc,18,169,6205.35,67.2773,57.8594,1.11865
00563_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_04_09_57.ano.eswc,13,93,2699.61,88.0083,61.4735,1.10949
00565_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_04_09_58.ano.eswc,10,104,3446.59,80.6488,58.309,1.12299
00570_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_22.ano.eswc,8,88,3013.87,93.294,61.0704,1.07556
00571_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_22.ano.eswc,8,92,3217.51,85.9345,58.9911,1.08609
00573_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_23.ano.eswc,7,97,3451.64,86.347,62.1832,1.09075
00574_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_07_04_17_13.ano.eswc,14,94,3474.43,79.8826,63.2845,1.13359
00576_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_23.ano.eswc,9,101,3371.24,80.1876,60.3618,1.09168
00577_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_23.ano.eswc,5,89,2682.9,77.7175,62.6972,1.07788
00578_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_24.ano.eswc,9,111,3330.77,84.0032,56.3046,1.10533
00579_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_25.ano.eswc,9,111,3913.04,74.6025,55.6377,1.11494
00581_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_04_16_28.ano.eswc,10,111,3255.92,77.9916,57.8262,1.08849
00582_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_04_16_28.ano.eswc,7,112,3934.9,81.6854,61.2828,1.09827
00583_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_29.ano.eswc,6,98,3364.49,78.6262,62.9671,1.10329
00586_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_30.ano.eswc,9,77,2711.35,87.7756,62.5177,1.03933
00587_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_31.ano.eswc,7,105,3901.88,82.8857,57.4377,1.09802
00589_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_09_59.ano.eswc,8,98,3513.05,80.7793,56.335,1.10477
00590_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_10_00.ano.eswc,9,101,2887.61,79.3514,65.4576,1.10369
00591_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_11_05.ano.eswc,10,101,3682.02,74.9814,50.165,1.11414
00592_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_14_19.ano.eswc,11,101,3327.18,76.7368,54.6976,1.09238
00593_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_14_20.ano.eswc,9,98,2575.14,81.7341,60.2046,1.13553
00594_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_06_28_15_29.ano.eswc,13,131,4966.02,74.0856,56.1931,1.13162
00595_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_15_12.ano.eswc,8,76,2528.41,80.1773,60.4515,1.12153
00596_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_19.ano.eswc,12,102,3637.87,80.4871,58.4347,1.11461
00602_P006_T01-S005_STG_R0509_LJ-20220530_LJ_stamp_2022_08_08_09_28.ano.eswc,9,73,2414.19,79.419,53.2749,1.12954
00604_P006_T01-S005_STG_R0509_LJ-20220530_LJ_stamp_2022_08_08_11_00.ano.eswc,6,66,1837.42,75.1466,59.8332,1.13797
00605_P006_T01-S005_STG_R0509_LJ-20220530_LJ_stamp_2022_08_04_17_10.ano.eswc,8,102,2828.66,77.6957,57.0993,1.1317
00606_P006_T01-S005_STG_R0509_LJ-20220530_LJ_stamp_2022_08_04_16_31.ano.eswc,8,106,3974.35,76.009,54.7284,1.14267
00607_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_32.ano.eswc,10,79,2860.77,81.4791,61.4228,1.09617
00608_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_33.ano.eswc,7,73,2515.09,82.1277,64.3175,1.04958
00609_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_17_18.ano.eswc,11,76,2062,84.058,60.888,1.05916
00611_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_10_58.ano.eswc,12,86,1915.83,69.3303,53.7123,1.08905
00612_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_11_38.ano.eswc,7,101,1660.03,81.6264,50.9303,1.05764
00613_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_14_38.ano.eswc,5,108,2927.24,73.9114,56.7698,1.09705
00614_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_15_39.ano.eswc,7,91,2998.08,79.5927,61.2164,1.11431
00621_P006_T01-S004_STG_R0509_LJ-20220530_XJ_stamp_2022_08_09_09_49.ano.eswc,5,68,2312.62,76.7816,61.0116,1.0731
00622_P006_T01-S004_STG_R0678_LJ-20220530_XJ_stamp_2022_08_05_16_37.ano.eswc,13,87,3706.8,75.5117,51.696,1.13013
00623_P006_T01-S004_STG_R0509_LJ-20220530_XJ_stamp_2022_08_17_10_05.ano.eswc,5,57,1922.44,84.3786,56.4609,1.09295
00625_P006_T01-S004_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_17_18.ano.eswc,9,108,3373.66,81.5978,56.4001,1.1384
00626_P006_T01-S004_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_17_19.ano.eswc,8,84,3326.81,80.199,55.2603,1.10238
00627_P006_T01-S004_STG_R0678_LJ-20220530_XJ_stamp_2022_08_05_17_19.ano.eswc,9,122,4400.07,76.5869,56.8588,1.10042
00628_P006_T01-S004_STG_R0678_LJ-20220530_XJ_stamp_2022_08_05_17_20.ano.eswc,8,115,4297.71,72.9501,51.3371,1.12932
00629_P006_T01-S004_STG_R0678_LJ-20220530_XJ_stamp_2022_08_05_17_20.ano.eswc,9,109,4035.49,72.5488,58.1829,1.09741
00630_P006_T01-S004_STG_R0678_LJ-20220530_XJ_stamp_2022_08_05_17_21.ano.eswc,8,117,4484.39,94.037,60.4253,1.095
00631_P006_T01-S004_STG_R0678_LJ-20220530_XJ_stamp_2022_08_05_17_21.ano.eswc,7,97,3871.72,80.7515,58.8468,1.10496
00632_P006_T01-S004_STG_R0678_LJ-20220530_XJ_stamp_2022_08_31_14_35.ano.eswc,12,170,6635.83,80.1868,55.4216,1.12356
00633_P006_T01-S004_STG_R0678_LJ-20220530_XJ_stamp_2022_08_08_16_42.ano.eswc,6,119,4065.4,87.5027,59.554,1.10471
00634_P006_T01-S004_STG_R0678_LJ-20220530_LJ_stamp_2022_08_08_16_42.ano.eswc,14,124,4992.77,77.1003,51.6345,1.13539
00635_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_08_16_43.ano.eswc,8,92,3161.46,78.7264,56.6698,1.11495
00636_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_09_16_33.ano.eswc,7,79,2577.94,81.5198,64.2525,1.11053
00637_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_31_15_24.ano.eswc,7,83,2913.5,80.6884,58.2976,1.08529
00638_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_09_16_34.ano.eswc,12,123,4151.39,92.1164,58.8091,1.11535
00639_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_08_16_43.ano.eswc,7,70,1839.56,87.738,63.1307,1.08809
00640_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_11_17_04.ano.eswc,8,102,3350.42,80.8793,58.2274,1.11921
00641_P006_T01-S004_STG_R0678_LJ-20220530_LJ_stamp_2022_08_15_10_44.ano.eswc,7,110,4205.64,70.0686,57.0938,1.1099
00643_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_15_14_12.ano.eswc,10,68,2449.48,85.6606,61.9268,1.06479
00644_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_18_09_59.ano.eswc,11,63,1669.17,80.0922,58.1943,1.06108
00645_P006_T01-S004_STG_R0678_LJ-20220530_LJ_stamp_2022_08_15_14_13.ano.eswc,11,126,5647.51,64.7652,49.8313,1.11568
00646_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_15_14_14.ano.eswc,15,91,2931.96,67.9156,53.7257,1.12878
00647_P006_T01-S004_STG_R0509_LJ-20220530_LJ_stamp_2022_08_15_15_38.ano.eswc,12,124,4456.09,67.7757,50.7378,1.14243
00648_P006_T01-S004_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_15_17_10.ano.eswc,9,95,3694.53,63.3591,51.3463,1.10698
00649_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_30_14_21.ano.eswc,6,56,2048.77,68.2971,55.0315,1.06728
00651_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_15_17_11.ano.eswc,7,81,2481.01,73.7697,63.3656,1.16067
00652_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_18_14_42.ano.eswc,7,63,2365.94,82.752,53.702,1.09817
00653_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_16_10_26.ano.eswc,11,71,2691.6,81.1206,58.6298,1.13876
00654_P006_T01-S004_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_16_15_26.ano.eswc,8,76,2668.6,70.5113,58.2543,1.16486
00655_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_26_10_54.ano.eswc,9,65,2661.79,61.7374,46.0867,1.13871
00656_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_16_15_27.ano.eswc,8,74,2544.17,77.9568,62.7312,1.12892
00657_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_16_15_28.ano.eswc,12,90,3251.64,82.224,53.7162,1.09457
00658_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_30_14_22.ano.eswc,7,59,2041.45,78.5187,64.1711,1.11202
00659_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_16_15_28.ano.eswc,9,93,3311.56,63.1232,53.8237,1.05368
00660_P006_T01-S004_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_16_16_38.ano.eswc,9,91,2990.59,66.1441,57.6143,1.10727
00664_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_04_10_30.ano.eswc,8,72,2342.1,74.3512,57.7913,1.13523
00665_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_06_28_15_37.ano.eswc,10,155,4541.04,74.4668,61.1516,1.13117
00667_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_06_28_15_26.ano.eswc,5,67,2705.08,81.8429,67.9257,1.08204
00669_P005_T01-S010_MFG_R0678_LJ-20220525_XJ_stamp_2022_08_05_17_26.ano.eswc,9,161,4691.23,80.4652,61.6466,1.1146
00670_P005_T01-S010_MFG_R0678_LJ-20220525_XJ_stamp_2022_08_17_10_47.ano.eswc,8,146,5368.92,79.7297,62.1897,1.0877
00671_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_17_14_09.ano.eswc,7,109,3478.34,83.1197,67.1542,1.06393
00674_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_17_14_10.ano.eswc,9,71,2241.95,74.3023,62.6143,1.05908
00675_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_08_10_27.ano.eswc,10,104,2846.38,84.5349,63.4414,1.09829
00676_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_06_28_15_56.ano.eswc,9,73,2825.51,74.9266,60.0536,1.09975
00677_P005_T01-S010_MFG_R0678_LJ-20220525_XJ_stamp_2022_06_28_16_43.ano.eswc,11,127,6268.12,66.1191,52.7786,1.1346
00678_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_08_14_07.ano.eswc,7,103,2811.37,76.4225,67.6717,1.06358
00679_P005_T01-S010_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_08_14_38.ano.eswc,6,84,2773.75,88.9541,69.465,1.0621
