Name,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00434_P005_T01-S004_MFG_R0678_LJ-20220525_XJ_stamp_2022_08_01_16_43.ano.eswc,MFG,36,F,1943,12.5664,14,36,85,50,332.898,241.368,133,1.99897,3507.14,22036,11018,179.398,236.942,9,0.917928,21.8471,1,84.8117,67.0357,1.09792
00435_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_48.ano.eswc,MFG,36,F,966,12.5664,9,21,49,29,195.965,188.33,58,1.99793,1481.47,9308.38,4654.19,150.198,178.975,7,0.897529,18.6939,1,79.939,74.2916,1.14188
00436_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_49.ano.eswc,MFG,36,F,1070,12.5664,9,23,53,31,186.803,136.412,76,1.99813,1590.84,9995.53,4997.76,107.816,148.017,5,0.89022,19.1698,1,80.8365,72.7223,1.06202
00437_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_50.ano.eswc,MFG,36,F,1840,12.5664,8,42,90,49,253.991,251.446,84,1.99891,2675.18,16808.7,8404.33,159.6,194.848,6,0.898759,19.4333,1,90.9556,78.5475,1.09617
00438_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_51.ano.eswc,MFG,36,F,1813,12.5664,10,24,56,33,190.366,255.518,80,1.9989,2654.16,16676.6,8338.28,136.562,165.972,5,0.894357,31.3571,1,90.4567,60.9193,1.12636
00439_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_26_15_52.ano.eswc,MFG,36,F,1238,12.5664,9,24,55,32,218.361,208.181,71,1.99838,1898.28,11927.3,5963.64,139.499,156.879,6,0.912017,21.4909,1,83.3789,61.6902,1.15428
00440_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_42.ano.eswc,MFG,36,F,2599,12.5664,10,58,124,67,252.973,250.937,97,1.99923,3921.47,24639.3,12319.7,174.831,214.055,8,0.903096,19.9516,1,85.9278,65.0356,1.14466
00441_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_43.ano.eswc,MFG,36,F,2019,12.5664,12,36,82,47,253.991,213.271,94,1.99901,2876.23,18071.9,9035.96,140.871,185.057,5,0.886665,23.6098,1,84.4668,68.1039,1.13328
00442_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_43.ano.eswc,MFG,36,F,1374,12.5664,8,26,58,33,233.122,186.803,78,1.99854,2043.11,12837.3,6418.63,149.098,194.747,6,0.893726,22.6724,1,88.9568,68.8711,1.05496
00443_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_43.ano.eswc,MFG,36,F,2020,12.5664,9,34,75,42,258.572,247.374,95,1.99901,3059.21,19221.6,9610.8,187.829,214.291,5,0.908263,25.92,1,81.8735,58.6705,1.10631
00444_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_07_27_16_44.ano.eswc,MFG,36,F,1427,12.5664,9,29,65,37,198.001,222.942,64,1.9986,2122.5,13336.1,6668.04,133.883,160.298,5,0.902605,20.9385,1,95.2944,70.553,1.04944
00445_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_27_16_44.ano.eswc,MFG,36,F,981,12.5664,9,22,51,30,194.438,146.592,89,1.99796,1476.48,9277.02,4638.51,134.911,157.077,6,0.901974,18.2157,1,91.2094,66.0271,1.17758
00448_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_01_16_43.ano.eswc,MFG,36,F,1587,12.5664,9,45,99,55,203.035,183.24,102,1.99874,2425.84,15242,7620.99,113.67,257.429,13,0.916436,15.0202,1,84.1142,69.2248,1.04797
00450_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_26_17_07.ano.eswc,MFG,36,F,591,12.5664,8,16,38,23,185.276,172.551,79.956,1.99662,1408.99,8852.93,4426.46,131.021,147.562,5,0.924889,14.5263,1,78.6913,69.1604,1.04722
00453_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_28_09_36.ano.eswc,MFG,36,F,1082,12.5664,10,32,72,41,137.939,159.317,106,1.99815,1645.53,10339.2,5169.58,99.8026,136.413,6,0.904803,14.0139,1,80.5124,61.5069,1.07218
00470_P005_T01-S005_MFG_R0509_LJ-20220525_XJ_stamp_2022_07_26_17_07.ano.eswc,MFG,36,F,1534,12.5664,10,48,104,57,155.754,162.371,122,1.9987,2354.9,14796.3,7398.14,100.317,124.655,6,0.895839,13.7404,1,70.7112,62.5402,1.06589
00471_P005_T01-S005_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_09_21.ano.eswc,MFG,36,F,1537,12.5664,9,31,70,40,240.757,248.901,118,1.9987,2446.61,15372.5,7686.24,154.598,188.887,5,0.907169,20.9429,1,82.9838,62.2651,1.12035
00479_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_09_22.ano.eswc,MFG,36,F,2167,12.5664,7,46,98,53,249.919,249.41,149,1.99908,3147.11,19773.9,9886.94,157.414,198.192,8,0.909679,21.102,1,79.5075,67.0742,1.11578
00480_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_16_44.ano.eswc,MFG,36,F,2196,12.5664,9,47,102,56,258.063,256.536,106,1.99909,3121.63,19613.8,9806.9,145.71,184.399,9,0.905132,20.5196,1,90.7738,61.5887,1.12121
00481_P005_T01-S006_MFG_R0678_LJ-20220525_LJ_stamp_2022_08_01_16_44.ano.eswc,MFG,36,F,2942,12.5664,11,75,160,86,288.828,319.338,136,1.99932,5255.2,33019.4,16509.7,195.552,252.36,8,0.927352,17.3813,1,83.0741,58.9914,1.10928
00482_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_09_24.ano.eswc,MFG,36,F,1991,12.5664,8,47,100,54,245.338,240.757,152,1.999,3038.46,19091.2,9545.6,146.411,176.113,7,0.920015,18.9,1,80.8567,61.5214,1.10942
00484_P005_T01-S006_MFG_R0678_LJ-20220525_LJ_stamp_2022_08_01_16_45.ano.eswc,MFG,36,F,2683,12.5664,12,61,132,72,315.27,315.27,157,1.99925,4845.01,30442.1,15221,203.855,251.862,7,0.917418,19.3182,1,84.0265,65.0387,1.12384
00485_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_09_25.ano.eswc,MFG,36,F,1853,12.5664,8,45,96,52,239.23,196.474,109,1.99892,2717.75,17076.1,8538.05,139.997,180.773,6,0.906348,18.2917,1,79.8979,66.3529,1.03996
00487_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_07_29_10_13.ano.eswc,MFG,36,F,1621,12.5664,13,42,95,54,205.127,206.145,85,1.99877,2626.02,16499.8,8249.9,134.526,154.42,6,0.909462,16.0526,1,75.6665,62.7332,1.05512
00488_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_09_34.ano.eswc,MFG,36,F,1875,12.5664,7,47,99,53,253.854,256.536,122,1.99893,2806.18,17631.8,8815.88,152.09,199.745,9,0.909922,17.9293,1,79.2629,62.2614,1.09372
00489_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_16_45.ano.eswc,MFG,36,F,2385,12.5664,9,35,77,43,257.554,259.081,124,1.99916,3370.31,21176.3,10588.1,177.655,210.018,6,0.892192,29.961,1,88.9892,65.0193,1.11145
00490_P005_T01-S006_MFG_R0678_LJ-20220525_LJ_stamp_2022_08_02_17_05.ano.eswc,MFG,36,F,2580,12.5664,9,46,99,54,300.354,336.966,153,1.99922,4404.11,27671.8,13835.9,232.432,299.248,9,0.909598,25.0505,1,81.6693,60.5446,1.0881
00494_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_09_33.ano.eswc,MFG,36,F,1271,12.5664,9,31,69,39,218.078,183.24,87,1.99843,1804.12,11335.6,5667.82,141.912,171.959,6,0.899841,17.4058,1,86.3387,64.8778,1.04345
00495_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_09_29.ano.eswc,MFG,36,F,1472,12.5664,11,36,82,47,241.266,231.086,151.963,1.99864,2701.29,16972.7,8486.35,154.19,199.756,6,0.915645,16.939,1,71.0234,60.1681,1.10497
00496_P005_T01-S006_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_01_09_39.ano.eswc,MFG,36,F,1533,12.5664,11,38,85,48,247.883,206.654,103,1.9987,2513.61,15793.5,7896.73,144.549,190.176,6,0.91918,17.0235,1,74.5361,69.6295,1.10975
00497_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_01_11_08.ano.eswc,MFG,36,F,2229,12.5664,13,46,103,58,324.762,267.81,137,1.9991,3960.4,24883.9,12442,200.186,271.958,11,0.914494,20.6311,1,73.5931,64.4262,1.09297
00498_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_01_11_09.ano.eswc,MFG,36,F,2100,12.5664,8,49,104,56,237.194,204.618,114,1.99905,3166.39,19895,9947.49,151.197,218.075,8,0.908412,19.1827,1,84.6094,71.7525,1.0416
00499_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_01_14_05.ano.eswc,MFG,36,F,2202,12.5664,10,46,101,56,232.602,231.086,143,1.99909,3250.51,20423.5,10211.8,147.161,186.106,6,0.905282,20.7921,1,83.5874,62.2301,1.10504
00501_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_02_17_05.ano.eswc,MFG,36,F,2731,12.5664,9,58,123,66,302.313,320.694,157,1.99927,4834.79,30377.9,15188.9,231.309,282.075,9,0.915223,21.1951,1,83.4968,70.2824,1.11099
00502_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_01_14_06.ano.eswc,MFG,36,F,2522,12.5664,11,56,121,66,329.508,275.501,129,1.99921,4530.67,28467,14233.5,177.194,216.3,8,0.921122,19.8347,1,72.7491,54.1397,1.11324
00503_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_01_15_24.ano.eswc,MFG,36,F,1705,12.5664,9,41,89,49,259.081,182.731,147,1.99883,2686.25,16878.2,8439.09,138.493,166.062,10,0.921958,18.1461,1,88.2717,69.1032,1.09528
00504_P005_T01-S006_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_01_16_03.ano.eswc,MFG,36,F,1765,12.5664,8,42,90,49,236.176,233.631,121,1.99887,2624.34,16489.2,8244.62,139.803,181.502,10,0.911436,18.6,1,85.3428,61.6096,1.09982
00509_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_01_17_07.ano.eswc,MFG,36,F,2298,12.5664,8,53,112,60,321.132,336.966,173.947,1.99913,4477.16,28130.8,14065.4,199.25,243.816,10,0.918651,19.5089,1,72.1017,57.2526,1.07802
00511_P005_T01-S006_MFG_R0678_LJ-20220525_YXQ_stamp_2022_08_02_17_05.ano.eswc,MFG,36,F,2393,12.5664,9,56,119,64,290.184,274.59,137,1.99916,4329.2,27201.2,13600.6,170.019,218.727,6,0.918552,19.1008,1,76.0583,65.1378,1.08954
00514_P005_T01-S007_MFG_R0509_LJ-20220525_YXQ_stamp_2022_08_02_09_43.ano.eswc,MFG,36,F,1813,12.5664,10,40,88,49,241.775,225.996,76,1.9989,2761.58,17351.5,8675.75,155.868,177.196,6,0.902093,19.5909,1,76.3228,52.9538,1.1369
00519_P005_T01-S007_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_02_17_06.ano.eswc,MFG,36,F,1933,12.5664,9,34,76,43,242.284,202.582,86,1.99897,2870.38,18035.1,9017.57,149.633,178.974,5,0.901126,24.4211,1,80.446,57.265,1.15043
00524_P005_T01-S007_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_02_10_38.ano.eswc,MFG,36,F,1779,12.5664,12,42,94,53,211.744,212.253,91,1.99888,2753.91,17303.3,8651.65,120.166,143.606,6,0.903122,17.9149,1,75.3047,56.5073,1.07477
00525_P005_T01-S007_MFG_R0509_LJ-20220525_XJ_stamp_2022_08_02_14_13.ano.eswc,MFG,36,F,1626,12.5664,10,43,95,53,194.438,197.492,86,1.99877,2518.88,15826.6,7913.28,127.017,149.588,6,0.914688,16.1053,1,71.7973,58.9579,1.0912
00527_P005_T01-S007_MFG_R0509_LJ-20220525_LJ_stamp_2022_08_02_14_14.ano.eswc,MFG,36,F,1355,12.5664,10,30,68,39,181.713,201.564,71,1.99852,1971.91,12389.9,6194.94,141.816,172.233,5,0.900054,18.9118,1,79.2258,55.1866,1.08179
00534_P006_T01-S002_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_02_16_02.ano.eswc,STG,63,M,1181,12.5664,10,23,54,32,210.217,249.919,76,1.99831,1905.25,11971,5985.51,161.564,190.201,5,0.909818,20.8519,1,86.498,63.6114,1.12204
00535_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_02_16_03.ano.eswc,STG,63,M,1812,12.5664,10,35,78,44,288.749,336.288,108,1.9989,3412.99,21444.5,10722.2,193.422,224.786,6,0.908189,22.2179,1,80.5095,54.4623,1.1145
00537_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_02_17_06.ano.eswc,STG,63,M,1408,12.5664,7,33,71,39,258.996,257.64,62,1.99858,2579.03,16204.5,8102.27,199.591,236.005,6,0.91966,18.8169,1,73.039,60.7377,1.10127
00538_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_04_10_10.ano.eswc,STG,63,M,1633,12.5664,9,34,76,43,248.826,282.726,74,1.99878,2831.08,17788.2,8894.11,197.918,240.068,6,0.905233,20.4737,1,87.0793,71.3508,1.09507
00539_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_02_17_10.ano.eswc,STG,63,M,1706,12.5664,8,36,78,43,275.268,265.098,87,1.99883,3018.95,18968.6,9484.3,162.509,209.85,6,0.906947,20.859,1,72.4966,67.5248,1.1089
00540_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_07_04_17_11.ano.eswc,STG,63,M,1737,10568.3,7,43,91,49,338.699,336.288,104,2.29018,3897.72,33861.1,83279.7,228.36,280.721,6,0.934376,18.0769,0.891801,66.4698,56.7,1.09189
00541_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_03_09_29.ano.eswc,STG,63,M,1281,12.5664,7,26,57,32,292.218,292.896,100,1.99844,2412.44,15157.8,7578.9,177.766,203.91,6,0.914245,21.4561,1,73.1539,61.7499,1.09608
00542_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_04_11_04.ano.eswc,STG,63,M,1073,12.5664,6,21,46,26,213.57,235.944,79,1.99814,1931.22,12134.2,6067.09,147.329,176.488,5,0.915816,22.3043,1,69.2057,55.2576,1.0958
00543_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_05_10_03.ano.eswc,STG,63,M,1463,12.5664,8,28,62,35,292.896,287.698,102,1.99863,2551.52,16031.7,8015.83,186.771,233.577,6,0.91527,22.5806,1,75.3694,57.7287,1.10141
00544_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_03_14_37.ano.eswc,STG,63,M,1415,12.5664,5,39,81,43,339.151,276.549,88,1.99859,3086.97,19396,9697.99,200.509,232.655,6,0.921342,16.4568,1,78.8989,55.7892,1.09711
00545_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_03_14_39.ano.eswc,STG,63,M,1820,12.5664,8,35,77,43,292.355,302.987,87,1.9989,3134.67,19695.7,9847.85,197.288,235.266,6,0.917173,22.6234,1,72.7024,66.0598,1.10475
00547_P006_T01-S002_STG_R0678_LJ-20220530_YXQ_stamp_2022_08_03_15_41.ano.eswc,STG,63,M,1864,12.5664,9,42,91,50,318.66,271.878,91.889,1.99893,3291.05,20678.3,10339.2,185.399,213.56,8,0.921839,19.4725,1,76.2038,60.8597,1.11597
00548_P006_T01-S002_STG_R0678_LJ-20220530_LJ_stamp_2022_08_05_10_34.ano.eswc,STG,63,M,1825,12.5664,14,33,78,46,330.261,252.216,97,1.9989,3440.11,21614.9,10807.4,174.709,214.667,6,0.920847,22.3846,1,82.2577,56.3426,1.11669
00554_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_02_17_07.ano.eswc,STG,63,M,2144,12.5664,14,42,96,55,233.575,252.804,134,1.99907,3132.57,19682.5,9841.26,156.538,227.767,10,0.894569,21.3229,1,76.9866,59.251,1.1306
00555_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_02_17_07.ano.eswc,STG,63,M,1995,12.5664,7,44,94,51,219.379,257.045,159,1.999,2968.61,18652.3,9326.16,173.975,210.443,10,0.904507,20.2128,1,82.4839,60.6928,1.07762
00556_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_02_17_07.ano.eswc,STG,63,M,2653,12.5664,8,60,127,68,246.865,256.027,139,1.99925,3890.76,24446.4,12223.2,161.996,222.844,9,0.904369,19.8819,1,88.6791,64.4734,1.08745
00557_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_03_17_21.ano.eswc,STG,63,M,2784,12.5664,10,53,114,62,259.59,259.59,154,1.99928,4267.45,26813.2,13406.6,183.183,241.218,9,0.907023,23.4123,1,81.8799,58.7,1.09538
00560_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_03_17_16.ano.eswc,STG,63,M,2214,12.5664,9,47,101,55,257.554,257.554,146,1.9991,3433.74,21574.8,10787.4,181.706,225.772,9,0.910264,20.9109,1,84.8024,67.4988,1.09033
00562_P006_T01-S003_STG_R0678_LJ-20220530_YXQ_stamp_2022_07_04_17_12.ano.eswc,STG,63,M,2918,7853.98,18,76,169,94,330.864,313.236,177,2.48336,6205.35,63727.1,224521,234.582,313.139,10,0.935859,16.2604,0.895528,67.2773,57.8594,1.11865
00563_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_04_09_57.ano.eswc,STG,63,M,1690,12.5664,13,41,93,53,225.996,183.24,167,1.99882,2699.61,16962.2,8481.09,145.116,185.804,9,0.910478,17.1613,1,88.0083,61.4735,1.10949
00565_P006_T01-S003_STG_R0509_LJ-20220530_YXQ_stamp_2022_08_04_09_58.ano.eswc,STG,63,M,2307,12.5664,10,48,104,57,233.631,248.901,144.778,1.99913,3446.59,21655.5,10827.8,162.213,231.751,10,0.903656,21.1731,1,80.6488,58.309,1.12299
00570_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_22.ano.eswc,STG,63,M,2033,12.5664,8,41,88,48,211.744,258.063,150,1.99902,3013.87,18936.7,9468.36,169.17,210.073,7,0.894385,22.0909,1,93.294,61.0704,1.07556
00571_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_22.ano.eswc,STG,63,M,2128,12.5664,8,43,92,50,256.536,251.955,164,1.99906,3217.51,20216.2,10108.1,168.61,222.48,7,0.904445,22.1196,1,85.9345,58.9911,1.08609
00573_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_23.ano.eswc,STG,63,M,2283,12.5664,7,46,97,52,257.554,247.374,154,1.99912,3451.64,21687.3,10843.6,171.467,203.263,7,0.90824,22.5258,1,86.347,62.1832,1.09075
00574_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_07_04_17_13.ano.eswc,STG,63,M,2141,7853.98,14,41,94,54,259.081,243.302,102,2.52133,3474.43,38768.1,160922,149.274,185.444,6,0.913325,21.766,0.93075,79.8826,63.2845,1.13359
00576_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_23.ano.eswc,STG,63,M,2200,12.5664,9,47,101,55,259.081,250.937,130,1.99909,3371.24,21182.2,10591.1,159.171,188.674,8,0.906807,20.7723,1,80.1876,60.3618,1.09168
00577_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_23.ano.eswc,STG,63,M,1812,12.5664,5,43,89,47,172.551,257.045,148,1.9989,2682.9,16857.1,8428.57,165.47,199.077,9,0.906805,19.3483,1,77.7175,62.6972,1.07788
00578_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_24.ano.eswc,STG,63,M,2296,12.5664,9,52,111,60,235.158,238.721,150,1.99913,3330.77,20927.8,10463.9,146.707,176.869,9,0.900691,19.6757,1,84.0032,56.3046,1.10533
00579_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_03_17_25.ano.eswc,STG,63,M,2640,12.5664,9,52,111,60,255.518,259.59,132,1.99924,3913.04,24586.3,12293.2,164.27,195.514,7,0.919518,22.7748,1,74.6025,55.6377,1.11494
00581_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_04_16_28.ano.eswc,STG,63,M,2162,12.5664,10,51,111,61,233.631,258.063,115,1.99907,3255.92,20457.6,10228.8,166.793,207.049,11,0.910393,18.4685,1,77.9916,57.8262,1.08849
00582_P006_T01-S003_STG_R0509_LJ-20220530_LJ_stamp_2022_08_04_16_28.ano.eswc,STG,63,M,2775,12.5664,7,53,112,60,258.572,245.847,138,1.99928,3934.9,24723.7,12361.9,178.226,202.982,6,0.899018,23.7679,1,81.6854,61.2828,1.09827
00583_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_29.ano.eswc,STG,63,M,2287,12.5664,6,47,98,52,258.572,257.554,157,1.99913,3364.49,21139.7,10569.9,178.108,238.587,8,0.905048,22.3265,1,78.6262,62.9671,1.10329
00586_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_30.ano.eswc,STG,63,M,1725,12.5664,9,35,77,43,207.616,233.631,150,1.99884,2711.35,17035.9,8517.95,134.734,203.614,6,0.90283,21.3896,1,87.7756,62.5177,1.03933
00587_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_31.ano.eswc,STG,63,M,2649,12.5664,7,50,105,56,258.572,259.081,158,1.99924,3901.88,24516.2,12258.1,177.369,206.125,7,0.900497,24.219,1,82.8857,57.4377,1.09802
00589_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_09_59.ano.eswc,STG,63,M,2313,12.5664,8,46,98,53,240.248,259.59,139,1.99914,3513.05,22073.2,11036.6,159.512,215.693,7,0.908843,22.5918,1,80.7793,56.335,1.10477
00590_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_10_00.ano.eswc,STG,63,M,1948,12.5664,9,47,101,55,231.595,204.109,132,1.99897,2887.61,18143.4,9071.7,131.38,162.062,7,0.909364,18.2772,1,79.3514,65.4576,1.10369
00591_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_11_05.ano.eswc,STG,63,M,2402,12.5664,10,46,101,56,258.912,234.423,121,1.99917,3682.02,23134.8,11567.4,182.378,225.239,7,0.899211,22.7723,1,74.9814,50.165,1.11414
00592_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_14_19.ano.eswc,STG,63,M,2110,12.5664,11,46,101,56,256.536,245.338,155,1.99905,3327.18,20905.3,10452.6,152.18,218.48,7,0.909681,19.8812,1,76.7368,54.6976,1.09238
00593_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_14_20.ano.eswc,STG,63,M,1641,12.5664,9,45,98,54,235.667,175.096,115,1.99878,2575.14,16180.1,8090.05,127.373,173.216,7,0.906727,15.7347,1,81.7341,60.2046,1.13553
00594_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_06_28_15_29.ano.eswc,STG,63,M,1984,9160.88,13,60,131,72,258.572,260.099,147.498,2.89213,4966.02,52425,170379,179.221,214.585,10,0.933424,14.1374,1.14373,74.0856,56.1931,1.13162
00595_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_15_12.ano.eswc,STG,63,M,1698,12.5664,8,35,76,42,225.596,257.045,98,1.99882,2528.41,15886.5,7943.25,149.876,171.392,6,0.906173,21.3289,1,80.1773,60.4515,1.12153
00596_P006_T01-S003_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_19.ano.eswc,STG,63,M,2369,12.5664,12,46,102,57,234.14,258.109,139,1.99916,3637.87,22857.4,11428.7,136.609,209.084,8,0.907467,22.2157,1,80.4871,58.4347,1.11461
00602_P006_T01-S005_STG_R0509_LJ-20220530_LJ_stamp_2022_08_08_09_28.ano.eswc,STG,63,M,1560,12.5664,9,33,73,41,202.073,245.338,94,1.99872,2414.19,15168.8,7584.4,139.47,170.739,6,0.899153,20.3562,1,79.419,53.2749,1.12954
00604_P006_T01-S005_STG_R0509_LJ-20220530_LJ_stamp_2022_08_08_11_00.ano.eswc,STG,63,M,1116,12.5664,6,31,66,36,190.366,210.726,73,1.99821,1837.42,11544.8,5772.42,129.18,143.419,5,0.912544,15.8939,1,75.1466,59.8332,1.13797
00605_P006_T01-S005_STG_R0509_LJ-20220530_LJ_stamp_2022_08_04_17_10.ano.eswc,STG,63,M,1852,12.5664,8,48,102,55,252.464,244.32,76,1.99892,2828.66,17773,8886.49,151.277,180.202,7,0.907994,17.1471,1,77.6957,57.0993,1.1317
00606_P006_T01-S005_STG_R0509_LJ-20220530_LJ_stamp_2022_08_04_16_31.ano.eswc,STG,63,M,2565,12.5664,8,50,106,57,256.027,246.865,111,1.99922,3974.35,24971.6,12485.8,176.798,205.537,7,0.901674,23.1887,1,76.009,54.7284,1.14267
00607_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_32.ano.eswc,STG,63,M,1813,12.5664,10,35,79,45,231.595,254.5,120,1.9989,2860.77,17974.7,8987.37,160.536,177.673,5,0.912534,21.9367,1,81.4791,61.4228,1.09617
00608_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_04_16_33.ano.eswc,STG,63,M,1626,12.5664,7,34,73,40,228.032,240.757,78,1.99877,2515.09,15802.8,7901.38,141.854,164.759,6,0.916342,21.2603,1,82.1277,64.3175,1.04958
00609_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_17_18.ano.eswc,STG,63,M,1325,12.5664,11,33,76,44,184.258,204.618,79,1.99849,2062,12955.9,6477.95,132.98,163.72,5,0.905425,16.4211,1,84.058,60.888,1.05916
00611_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_10_58.ano.eswc,STG,63,M,1159,12.5664,12,38,86,49,183.749,184.767,69,1.99827,1915.83,12037.5,6018.77,113.484,127.125,6,0.912719,12.4651,1,69.3303,53.7123,1.08905
00612_P006_T01-S005_STG_R0509_LJ-20220530_XJ_stamp_2022_08_05_11_38.ano.eswc,STG,63,M,1095,12.5664,7,48,101,54,168.479,177.641,65,1.99817,1660.03,10430.3,5215.14,112.705,129.506,8,0.920197,9.83168,1,81.6264,50.9303,1.05764
