Name,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
00064_P002_T01-S001_SFG_R0460_GYC-20220513_YXQ_stamp_2022_06_27_09_18.ano.eswc,SFG,36,M,1138,8494.87,11,32,73,42,212.06,203.78,96,2.81887,2018.85,24672,88964.2,131.711,157.333,7,0.921809,14.5753,0.964709,87.882,60.952,1.07008
00065_P002_T01-S001_SFG_R0460_WY-20220506_YXQ_stamp_2022_08_31_14_46.ano.eswc,SFG,36,M,837,12.5664,9,30,67,38,146.74,203.32,91,2.19073,1344.37,11412.1,16065.9,142.057,161.142,6,0.890555,11.4776,1.37107,81.1447,65.5151,1.08311
00066_P002_T01-S001_SFG_R0460_GYC-20220513_YXQ_stamp_2022_06_27_10_15.ano.eswc,SFG,36,M,973,7238.23,7,24,53,30,202.86,176.64,86,2.67871,1658.04,18898.4,72864.2,132.559,159.794,5,0.917245,17.3396,0.990071,69.4932,57.4028,1.04642
00068_P003_T01-S000_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_10_14_31.ano.eswc,IPL,49,F,1999,12.5664,9,40,87,48,197.34,231.84,186,1.999,2773.32,17425.3,8712.63,149.772,187.398,7,0.899147,21.9655,1,89.4628,61.4765,1.09047
00069_P003_T01-S000_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_31_14_48.ano.eswc,IPL,49,F,2534,22167.1,10,62,132,71,235.06,235.009,210,2.1227,4454.56,37302.9,47541.4,188.983,214.409,11,0.919786,18.1894,0.868711,72.581,60.385,1.08991
00073_P003_T02-S001_STG_R0460_GYC-20220516_GYC_stamp_2022_08_12_09_49.ano.eswc,IPL,49,F,1666,12.5664,8,34,74,41,212.98,228.62,82.144,1.9988,2227.34,13994.8,6997.4,143.831,180.079,7,0.898843,21.5,1,72.1016,59.8557,1.06548
00082_P003_T02-S003_STG_R0460_GYC-20220516_LJ_stamp_2022_08_12_10_54.ano.eswc,IPL,49,F,1520,12.5664,8,32,70,39,226.583,230.818,93,1.99868,2231.21,14019.1,7009.56,145.973,170.563,8,0.897547,20.7,1,86.3004,65.6256,1.0761
00083_P003_T02-S003_STG_R0460_GYC-20220516_LJ_stamp_2022_08_10_14_32.ano.eswc,IPL,49,F,1891,12.5664,10,36,80,45,233.68,227.7,85,1.99894,2632.98,16543.5,8271.75,166.679,199.559,7,0.901388,22.625,1,73.3545,57.1742,1.13124
00084_P003_T02-S003_STG_R0460_GYC-20220516_LJ_stamp_2022_08_12_11_15.ano.eswc,IPL,49,F,1694,12.5664,10,34,76,43,147.2,203.32,88,1.99882,2370.56,14894.7,7447.33,146.096,177.158,7,0.914943,21.2763,1,78.4511,57.0272,1.10301
00086_P003_T02-S003_STG_R0460_GYC-20220516_LJ_stamp_2022_08_10_15_31.ano.eswc,IPL,49,F,2145,12.5664,9,45,97,53,233.527,231.84,92,1.99907,2983.26,18744.4,9372.19,148.478,186.067,7,0.910848,21.1031,1,73.8462,61.6191,1.12806
00093_P003_T01-S006_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_08_31_14_48.ano.eswc,IPL,49,F,1842,12.5664,7,39,83,45,235.06,235.06,162.283,2.06653,3684.36,26151,23588.9,166.691,211.559,7,0.918194,21.1807,1.21636,67.7122,51.814,1.09388
00096_P003_T01-S006_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_08_10_16_30.ano.eswc,IPL,49,F,1828,12.5664,9,36,79,44,191.36,230,125,1.99891,2490.36,15647.4,7823.69,155.563,187.949,7,0.900356,22.1266,1,73.2595,70.5438,1.12325
00098_P003_T01-S006_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_08_10_17_25.ano.eswc,IPL,49,F,2065,12.5664,6,44,92,49,225.4,231.38,141,1.99903,2751.41,17287.6,8643.8,161.26,211.443,13,0.899628,21.4348,1,80.3906,62.773,1.1238
00100_P003_T01-S006_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_08_31_14_50.ano.eswc,IPL,49,F,1923,12.5664,6,47,100,54,213.9,233.22,149.56,2.0407,3330.98,22159.4,12660.9,158.817,237.265,11,0.913451,18.22,1.03073,61.2571,55.8865,1.09161
00103_P003_T01-S006_S(M)TG_R0460_WY-20220513_YXQ_stamp_2022_08_31_14_51.ano.eswc,IPL,49,F,1474,10568.3,11,35,79,45,234.6,234.6,140.89,2.31155,3285.96,32243.3,52292.7,165.689,192.015,5,0.924679,17.6456,0.710332,77.578,55.5593,1.09729
00106_P003_T01-S006_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_31_15_22.ano.eswc,IPL,49,F,1134,12.5664,8,22,50,29,226.118,234.14,164.56,2.18987,2634.82,21797.3,31672.8,169.408,203.711,6,0.923889,21.66,2.04112,54.4946,66.5912,1.04723
00108_P003_T01-S006_S(M)TG_R0460_WY-20220513_XJ_stamp_2022_08_31_14_53.ano.eswc,IPL,49,F,1686,6647.61,9,39,86,48,209.76,230.92,115,2.09113,2892.47,22467.4,21904.2,149.796,177.416,8,0.919298,18.593,0.751004,65.1883,54.8661,1.10424
