,Orientation,BrainRgn,Age,Sex,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,mean_Nodes,mean_SomaSurface,mean_Stems,mean_Bifurcations,mean_Branches,mean_Tips,mean_OverallWidth,mean_OverallHeight,mean_OverallDepth,mean_AverageDiameter,mean_Length,mean_Surface,mean_Volume,mean_MaxEuclideanDistance,mean_MaxPathDistance,mean_MaxBranchOrder,mean_AverageContraction,mean_AverageFragmentation,mean_AverageParent-daughterRatio,mean_AverageBifurcationAngleLocal,mean_AverageBifurcationAngleRemote,mean_HausdorffDimension,median_Nodes,median_SomaSurface,median_Stems,median_Bifurcations,median_Branches,median_Tips,median_OverallWidth,median_OverallHeight,median_OverallDepth,median_AverageDiameter,median_Length,median_Surface,median_Volume,median_MaxEuclideanDistance,median_MaxPathDistance,median_MaxBranchOrder,median_AverageContraction,median_AverageFragmentation,median_AverageParent-daughterRatio,median_AverageBifurcationAngleLocal,median_AverageBifurcationAngleRemote,median_HausdorffDimension
00030_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_36,A,MFG,49,M,1342,12.5664,10,38,84,47,189.98,235.06,141.0,2.14633,2480.15,20240.5,33700.2,160.461,183.863,7,0.9271149999999999,14.9643,1.20422,71.0503,53.4545,1.0678,1265.3333333333333,12.5664,8.666666666666666,32.166666666666664,71.16666666666667,40.0,202.59633333333332,222.05149999999995,142.47383333333335,2.1494749999999994,2481.0066666666667,19419.9,26110.016666666666,157.278,188.23666666666668,7.333333333333333,0.9208241666666667,16.972083333333334,1.41704,66.14616666666666,57.75934999999999,1.0776083333333333,1238.0,12.5664,8.5,35.5,78.0,43.0,208.739,234.52049999999997,137.0,2.1626,2557.485,20100.95,27630.85,159.4115,184.976,7.0,0.9218665,15.1488,1.21029,67.90385,57.80625,1.074575
00031_P001_T01-S001_MFG_R0460_WY-20220415_GYC_stamp_2022_08_31_14_39,A,MFG,49,M,1107,12.5664,8,33,73,41,191.36,234.90099999999998,126.0,2.17887,2079.22,15735.7,14404.7,151.60399999999998,172.315,8,0.9198440000000001,14.1507,1.07085,64.2714,58.8277,1.08135,860.8333333333334,12.5664,6.833333333333333,33.333333333333336,73.83333333333333,41.5,204.95550000000003,205.05866666666665,109.0,2.02757,1857.2616666666665,12114.779999999999,7146.865000000001,141.16916666666665,171.35216666666668,7.833333333333333,0.9255616666666667,10.879354999999999,1.0118083333333334,62.97678333333332,55.01951666666667,1.0728466666666667,807.0,12.5664,6.5,32.5,72.0,41.5,205.16000000000003,199.892,109.5,1.997495,1874.745,11779.35,5889.685,140.3735,171.51749999999998,8.0,0.9215190000000001,10.043,1.0,66.19205,55.39035,1.074885
00040_P001_T01-S002_MFG_R0460_WY-20220415_XJ_stamp_2022_08_31_14_40,T,MFG,49,M,767,4350.73,10,28,64,37,144.9,140.3,99.0,2.2534099999999997,1546.91,15689.7,24560.0,100.095,120.197,4,0.9167790000000001,10.9688,0.8195620000000001,67.1209,57.1018,1.06382,890.6666666666666,2088.5715333333333,8.333333333333334,29.833333333333332,66.16666666666667,37.333333333333336,154.10016666666667,147.46016666666665,91.13516666666668,2.305483333333333,1462.47,13260.988333333333,27112.91833333333,101.70736666666666,123.5752,5.5,0.9193985000000001,12.386099999999999,0.9170131666666667,73.95485,59.30395000000001,1.06817,945.0,2042.0332,8.0,30.5,67.5,38.0,153.33350000000002,142.37,91.5,2.1257599999999996,1550.1100000000001,12806.64,14760.895,100.1555,126.4685,6.0,0.9189935,12.26135,0.9326745,74.8012,58.74525,1.068145
00044_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_42,A,MFG,49,M,1671,6082.12,8,62,133,72,203.975,235.06,127.0,2.12545,2910.83,25260.9,45056.0,134.809,172.53900000000002,10,0.923607,11.5564,0.896598,60.2769,55.6294,1.05736,1832.3333333333333,4062.166533333333,8.0,59.166666666666664,125.33333333333333,67.16666666666667,235.7396666666667,228.94233333333332,124.5,2.1256266666666668,3073.8250000000007,23764.166666666668,37338.67833333334,158.05533333333332,187.7446666666667,9.5,0.9237806666666666,13.615233333333334,0.9435481666666666,67.75546666666666,55.44025,1.0855133333333333,1782.5,3047.3432,7.5,59.0,124.0,67.0,231.608,232.76,127.5,2.062275,3046.51,24000.550000000003,28213.05,157.66500000000002,186.7425,10.0,0.9246725,13.4851,0.967554,70.23205,55.76255,1.085415
00045_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_06_24_16_16,A,MFG,49,M,2196,12.5664,8,61,129,69,233.68,233.22,129.0,1.9990900000000003,3762.53,23640.7,11820.3,172.986,213.472,10,0.913603,16.0155,1.0,71.3877,52.4671,1.1310799999999999,2474.3333333333335,12.5664,7.833333333333333,71.33333333333333,149.33333333333334,79.0,262.69166666666666,265.7821666666667,133.5,1.9991700000000001,4255.415,26737.566666666666,13368.800000000001,183.4965,225.59616666666668,9.833333333333334,0.9238115000000001,15.611816666666668,1.0,70.36266666666667,56.32951666666667,1.1115883333333332,2281.5,12.5664,8.0,72.5,152.0,80.5,256.54049999999995,264.5095,128.0,1.99912,3841.705,24138.15,12069.05,178.45100000000002,221.19,10.0,0.9244455,15.3534,1.0,70.28649999999999,56.55085,1.113635
00046_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_14_43,T,MFG,49,M,889,8494.87,9,17,42,26,234.14,233.68,128.0,2.22634,1947.28,17761.8,21448.5,156.628,206.577,4,0.9202950000000001,20.1429,0.6345149999999999,82.8505,58.7853,1.07081,1162.8333333333333,9397.551666666668,8.166666666666666,29.0,64.66666666666667,36.666666666666664,221.952,223.08683333333332,111.11083333333333,2.4258583333333337,2333.5783333333334,22312.099999999995,52291.56666666667,151.39049999999997,184.76949999999997,6.0,0.9226553333333335,17.0361,0.8111683333333334,78.07183333333334,59.98381666666668,1.075415,1005.0,9531.585,8.5,29.5,64.0,35.5,221.95,232.3,119.8875,2.4521100000000002,2326.18,20682.9,61643.95,153.212,184.7155,6.0,0.9205690000000001,17.492600000000003,0.813327,79.71045000000001,58.094049999999996,1.076425
00047_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_08_31_15_19,T,MFG,49,M,971,12.5664,10,24,56,33,168.82,233.47799999999998,121.0,2.36295,1956.61,19117.9,55895.0,131.737,170.205,7,0.9060600000000001,16.3214,2.7181,64.2149,60.5674,1.1100299999999999,1183.8333333333333,12.5664,9.333333333333334,27.0,61.333333333333336,35.333333333333336,207.76116666666664,192.38766666666666,127.42666666666666,2.3145366666666667,2075.781666666667,20158.46666666667,52078.533333333326,146.35283333333334,185.35416666666666,6.166666666666667,0.9122728333333333,18.435866666666666,2.0983016666666665,69.66575000000002,61.58825000000001,1.0733483333333333,1052.5,12.5664,9.5,23.0,53.0,31.5,224.839,181.204,126.0,2.28848,2013.9899999999998,18754.6,38714.25,145.07999999999998,180.5485,6.0,0.9147025,17.1907,2.0982600000000002,71.5305,61.5067,1.0664700000000003
00048_P001_T01-S002_MFG_R0460_WY-20220415_YXQ_stamp_2022_07_04_17_06,T,MFG,49,M,1392,12.5664,7,40,85,46,234.14,234.6,144.0,1.99856,3176.57,19959.0,9979.49,170.343,196.16099999999997,8,0.9137379999999999,15.3647,1.0,82.8742,62.8914,1.05419,1434.6666666666667,12.5664,6.333333333333333,42.333333333333336,89.5,48.166666666666664,223.5303333333333,249.94366666666667,140.5,1.99857,2541.8483333333334,15970.9,7985.453333333332,169.97633333333334,198.54766666666663,8.5,0.9179398333333332,15.160583333333333,1.0,82.43118333333332,63.73111666666666,1.0800150000000002,1365.0,12.5664,6.5,41.5,87.0,46.5,232.76,245.8225,143.0,1.998535,2495.985,15682.699999999999,7841.365,170.0275,198.9475,8.5,0.917551,14.70235,1.0,83.2347,63.651250000000005,1.08007
00053_P002_T01-S001_SFG_R0460_WY-20220506_LJ_stamp_2022_08_31_14_45,T,SFG,36,M,1169,4076.03,6,32,68,37,233.68,159.16,81.0,2.14115,1925.11,17130.8,28817.6,131.067,163.738,7,0.905857,16.1765,0.816171,59.4695,50.1057,1.05988,1128.6666666666667,689.8103333333333,6.666666666666667,30.666666666666668,66.33333333333333,36.666666666666664,217.27866666666668,172.77800000000002,79.5,2.02187,1862.2849999999999,12540.268333333333,9645.493333333334,129.74666666666667,156.62400000000002,7.5,0.9084731666666667,16.409056666666668,0.9693618333333333,65.47510000000001,51.555800000000005,1.0678866666666664,1220.0,12.5664,7.0,32.0,68.5,37.5,220.70049999999998,173.2865,77.5,1.9984449999999998,1894.505,12090.349999999999,6045.16,131.752,158.376,7.5,0.907181,16.85255,1.0,66.09585,51.64475,1.0723449999999999
00061_P002_T01-S001_SFG_R0460_WY-20220506_YXQ_stamp_2022_08_31_15_20,T,SFG,36,M,1277,12.5664,12,38,86,49,189.06,212.06,79.0,2.15141,2296.29,19408.2,44915.0,131.719,156.113,7,0.90555,13.8372,1.39489,79.0593,68.4449,1.09641,1003.8333333333334,12.5664,9.666666666666666,30.166666666666668,68.16666666666667,39.0,179.22466666666665,194.21633333333332,89.5,2.2225183333333334,1840.9583333333333,16394.033333333333,33991.6,131.203,158.8175,6.5,0.9048051666666667,13.995983333333333,1.7513833333333333,74.28968333333334,64.04048333333334,1.0933083333333335,962.5,12.5664,10.0,30.5,67.5,38.0,172.63,200.915,89.0,2.2256799999999997,1844.08,17043.1,35468.15,131.4415,158.6275,7.0,0.905805,13.382,1.5150649999999999,76.33675,63.041250000000005,1.08976
