Distance_to_soma,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205,210,215,220,225,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595
00117_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_16,7,7,9,10,13,15,15,16,14,14,17,17,19,20,21,21,21,23,22,21,20,22,20,23,17,18,17,15,12,12,10,9,6,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00121_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_07_17_19,6,6,6,7,9,13,12,18,21,20,22,20,23,26,27,28,28,29,28,28,26,22,23,22,21,19,18,14,11,8,8,5,6,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00122_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_08_17_09,7,7,7,9,10,13,13,16,21,20,23,26,30,33,36,38,39,41,43,43,47,49,50,48,48,46,45,44,43,40,37,34,23,23,18,14,12,8,7,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00135_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_05_17_17,10,10,10,12,12,12,15,20,23,23,24,24,26,24,29,31,33,34,30,30,32,30,29,27,28,27,28,27,25,18,19,17,17,17,15,12,10,8,7,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00138_P003_T01-S001_S(M)TG_R0460_WY-20220513_stamp_2022_08_11_10_40,9,9,9,9,10,16,24,28,33,32,29,29,31,32,25,23,20,13,10,7,7,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00142_P003_T01-S001_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_07_11_17_14,7,7,7,9,10,11,11,13,16,23,25,24,27,27,30,36,36,39,36,36,32,30,31,27,24,25,22,18,18,18,17,11,9,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00152_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_07_11_17_16,7,7,7,7,9,11,14,18,23,28,30,34,37,34,35,36,32,31,30,30,29,23,19,13,6,4,4,3,1,2,2,2,2,2,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00153_P003_T01-S001_S(M)TG_R0613_WY-20220513_YXQ_stamp_2022_08_22_10_39,7,7,7,7,7,10,12,13,16,21,24,23,22,18,15,18,14,13,10,10,9,4,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00156_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_08_30_09_25,9,9,9,9,9,13,14,15,17,16,19,19,20,21,21,21,19,17,16,15,14,9,7,8,6,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00163_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_18,7,7,7,8,10,12,13,16,20,22,25,31,34,36,40,38,41,42,44,49,53,55,54,53,53,51,48,44,40,33,26,24,22,18,10,6,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00165_P003_T01-S005_S(M)TG_R0613_WY-20220513_GYC_stamp_2022_07_11_17_19,6,6,6,6,7,7,9,11,15,18,15,19,24,24,24,24,28,30,30,32,33,32,36,36,37,35,33,35,30,30,26,24,21,18,12,11,7,5,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00182_P003_T01-S003_S(M)TG_R0613_WY-20220513_LJ_stamp_2022_08_23_10_49,6,6,6,7,8,10,14,17,19,24,26,27,29,25,20,19,16,17,16,15,14,12,9,9,6,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
